driver_number,best_lap,avg_lap,avg_st_speed,max_st_speed,avg_i1_speed,avg_i2_speed,laps_count,session_key
1,89.708,92.25661403508772,313.7543859649123,341.0,213.82051282051282,187.57894736842104,58,9078
2,92.384,94.51603571428572,314.23214285714283,323.0,211.25,184.375,56,9078
4,92.401,93.7958245614035,305.5438596491228,332.0,210.30612244897958,184.91228070175438,57,9078
10,91.971,93.23340350877193,312.2631578947368,333.0,213.3695652173913,186.26315789473685,57,9078
11,90.56,92.35082456140351,309.87719298245617,324.0,211.91666666666666,185.96491228070175,57,9078
14,90.519,92.71905263157895,313.7368421052632,326.0,212.10416666666666,186.75438596491227,57,9078
16,91.434,93.1839298245614,316.49122807017545,338.0,213.73333333333332,185.6140350877193,57,9078
18,90.862,93.39259649122806,321.7719298245614,348.0,210.5909090909091,186.08771929824562,57,9078
20,91.691,93.36043859649124,317.6842105263158,334.0,211.26,184.82456140350877,57,9078
21,91.562,93.81652631578947,311.6842105263158,321.0,212.07142857142858,185.2280701754386,57,9078
22,91.038,93.38270175438598,321.12280701754383,342.0,213.02325581395348,186.28070175438597,57,9078
23,91.852,93.53436842105263,319.1929824561403,332.0,211.07692307692307,184.52631578947367,57,9078
24,91.736,93.63229824561404,314.87719298245617,344.0,211.6888888888889,185.52631578947367,57,9078
27,90.901,93.56989473684212,320.56140350877195,338.0,212.22,185.80701754385964,57,9078
31,91.143,93.27673684210527,316.9298245614035,335.0,213.64444444444445,185.91228070175438,57,9078
44,90.669,93.15410526315789,316.5263157894737,337.0,211.42,186.75438596491227,57,9078
55,91.362,92.91450877192983,317.7368421052632,337.0,213.27450980392157,186.98245614035088,57,9078
63,91.015,92.83942105263158,316.9824561403509,335.0,212.3921568627451,186.33333333333334,57,9078
77,91.838,93.51373684210527,312.2105263157895,336.0,215.0212765957447,187.08771929824562,57,9078
81,92.006,94.26969642857144,298.80357142857144,328.0,211.86046511627907,185.625,56,9078
1,76.604,83.74789743589744,263.87179487179486,271.0,178.34285714285716,174.92307692307693,79,9094
2,77.302,86.91067105263159,268.2631578947368,286.0,169.93055555555554,170.89473684210526,76,9094
4,77.844,84.88848051948051,275.5844155844156,282.0,178.12857142857143,175.54545454545453,77,9094
